round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,10,iid,1242.0,2.29546,N/A,12.72,0.8758,0.0
1,FedAvg,fmnist,10,iid,8419.0,0.44566,N/A,25.44,0.5,0.0
2,FedAvg,fmnist,10,iid,8549.0,0.41643,N/A,38.16,0.5,0.0
3,FedAvg,fmnist,10,iid,8667.0,0.38396,N/A,50.88,0.5,0.0
4,FedAvg,fmnist,10,iid,8697.0,0.3796,N/A,63.6,0.5,0.0
5,FedAvg,fmnist,10,iid,8715.0,0.3639,N/A,76.32,0.5,0.0
6,FedAvg,fmnist,10,iid,8729.0,0.37315,N/A,89.05,0.5,0.0
7,FedAvg,fmnist,10,iid,8676.0,0.3974,N/A,101.77,0.5,0.0
8,FedAvg,fmnist,10,iid,8790.0,0.36634,N/A,114.49,0.5,0.0
9,FedAvg,fmnist,10,iid,8803.0,0.35801,N/A,127.21,0.5,0.0
10,FedAvg,fmnist,10,iid,8816.0,0.35851,N/A,139.93,0.5,0.0
11,FedAvg,fmnist,10,iid,8830.0,0.37513,N/A,152.65,0.5,0.0
12,FedAvg,fmnist,10,iid,8792.0,0.38799,N/A,165.37,0.5,0.0
13,FedAvg,fmnist,10,iid,8818.0,0.38267,N/A,178.09,0.5,0.0
14,FedAvg,fmnist,10,iid,8823.0,0.38451,N/A,190.81,0.5,0.0
15,FedAvg,fmnist,10,iid,8802.0,0.37502,N/A,203.53,0.5,0.0
16,FedAvg,fmnist,10,iid,8820.0,0.37573,N/A,216.25,0.5,0.0
17,FedAvg,fmnist,10,iid,8795.0,0.40283,N/A,228.97,0.5,0.0
18,FedAvg,fmnist,10,iid,8857.0,0.37559,N/A,241.7,0.5,0.0
19,FedAvg,fmnist,10,iid,8895.0,0.39112,N/A,254.42,0.5,0.0
20,FedAvg,fmnist,10,iid,8866.0,0.39238,N/A,267.14,0.5,0.0
