round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,50,1.0,1242.0,2.29546,N/A,63.6,0.8758,0.0
1,FedAvg,fmnist,50,1.0,7042.0,0.79664,N/A,127.21,0.5,0.0
2,FedAvg,fmnist,50,1.0,8038.0,0.51109,N/A,190.81,0.5,0.0
3,FedAvg,fmnist,50,1.0,8159.0,0.53769,N/A,254.42,0.5,0.0
4,FedAvg,fmnist,50,1.0,8163.0,0.49852,N/A,318.02,0.5,0.0
5,FedAvg,fmnist,50,1.0,8263.0,0.50521,N/A,381.62,0.5,0.0
6,FedAvg,fmnist,50,1.0,8363.0,0.4624,N/A,445.23,0.5,0.0
7,FedAvg,fmnist,50,1.0,8430.0,0.44719,N/A,508.83,0.5,0.0
8,FedAvg,fmnist,50,1.0,8328.0,0.45866,N/A,572.44,0.5,0.0
9,FedAvg,fmnist,50,1.0,8499.0,0.4342,N/A,636.04,0.5,0.0
10,FedAvg,fmnist,50,1.0,8544.0,0.4251,N/A,699.64,0.5,0.0
11,FedAvg,fmnist,50,1.0,8470.0,0.44486,N/A,763.25,0.5,0.0
12,FedAvg,fmnist,50,1.0,8554.0,0.42211,N/A,826.85,0.5,0.0
13,FedAvg,fmnist,50,1.0,8537.0,0.40875,N/A,890.46,0.5,0.0
14,FedAvg,fmnist,50,1.0,8452.0,0.46725,N/A,954.06,0.5,0.0
15,FedAvg,fmnist,50,1.0,8589.0,0.42454,N/A,1017.66,0.5,0.0
16,FedAvg,fmnist,50,1.0,8534.0,0.4449,N/A,1081.27,0.5,0.0
17,FedAvg,fmnist,50,1.0,8597.0,0.41955,N/A,1144.87,0.5,0.0
18,FedAvg,fmnist,50,1.0,8624.0,0.41397,N/A,1208.48,0.5,0.0
19,FedAvg,fmnist,50,1.0,8290.0,0.48366,N/A,1272.08,0.5,0.0
20,FedAvg,fmnist,50,1.0,8626.0,0.41846,N/A,1335.68,0.5,0.0
