round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,100,0.1,1022.0,2.34284,N/A,127.21,0.8978,0.0
1,FedAvg,mnist,100,0.1,5046.0,1.33987,N/A,254.42,0.5,0.0
2,FedAvg,mnist,100,0.1,5342.0,1.50178,N/A,381.62,0.5,0.0
3,FedAvg,mnist,100,0.1,6192.0,1.06772,N/A,508.83,0.5,0.0
4,FedAvg,mnist,100,0.1,6945.0,0.84521,N/A,636.04,0.5,0.0
5,FedAvg,mnist,100,0.1,7933.0,0.57144,N/A,763.25,0.5,0.0
6,FedAvg,mnist,100,0.1,8994.0,0.34459,N/A,890.46,0.5,0.0
7,FedAvg,mnist,100,0.1,8279.0,0.49971,N/A,1017.66,0.5,0.0
8,FedAvg,mnist,100,0.1,8884.0,0.35832,N/A,1144.87,0.5,0.0
9,FedAvg,mnist,100,0.1,8578.0,0.42497,N/A,1272.08,0.5,0.0
10,FedAvg,mnist,100,0.1,8967.0,0.32645,N/A,1399.29,0.5,0.0
11,FedAvg,mnist,100,0.1,8711.0,0.3765,N/A,1526.5,0.5,0.0
12,FedAvg,mnist,100,0.1,8983.0,0.3124,N/A,1653.7,0.5,0.0
13,FedAvg,mnist,100,0.1,8953.0,0.32092,N/A,1780.91,0.5,0.0
14,FedAvg,mnist,100,0.1,8925.0,0.31645,N/A,1908.12,0.5,0.0
15,FedAvg,mnist,100,0.1,8972.0,0.32008,N/A,2035.33,0.5,0.0
16,FedAvg,mnist,100,0.1,9002.0,0.29558,N/A,2162.54,0.5,0.0
17,FedAvg,mnist,100,0.1,9125.0,0.27997,N/A,2289.74,0.5,0.0
18,FedAvg,mnist,100,0.1,8933.0,0.34394,N/A,2416.95,0.5,0.0
19,FedAvg,mnist,100,0.1,9169.0,0.25283,N/A,2544.16,0.5,0.0
20,FedAvg,mnist,100,0.1,9456.0,0.18058,N/A,2671.37,0.5,0.0
