round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,100,iid,1022.0,2.34284,N/A,127.21,0.8978,0.0
1,FedAvg,mnist,100,iid,8947.0,0.34941,N/A,254.42,0.5,0.0
2,FedAvg,mnist,100,iid,9133.0,0.29557,N/A,381.62,0.5,0.0
3,FedAvg,mnist,100,iid,9233.0,0.26461,N/A,508.83,0.5,0.0
4,FedAvg,mnist,100,iid,9289.0,0.2416,N/A,636.04,0.5,0.0
5,FedAvg,mnist,100,iid,9347.0,0.22401,N/A,763.25,0.5,0.0
6,FedAvg,mnist,100,iid,9382.0,0.21034,N/A,890.46,0.5,0.0
7,FedAvg,mnist,100,iid,9416.0,0.19738,N/A,1017.66,0.5,0.0
8,FedAvg,mnist,100,iid,9469.0,0.18281,N/A,1144.87,0.5,0.0
9,FedAvg,mnist,100,iid,9477.0,0.17492,N/A,1272.08,0.5,0.0
10,FedAvg,mnist,100,iid,9503.0,0.16627,N/A,1399.29,0.5,0.0
11,FedAvg,mnist,100,iid,9523.0,0.16275,N/A,1526.5,0.5,0.0
12,FedAvg,mnist,100,iid,9544.0,0.15548,N/A,1653.7,0.5,0.0
13,FedAvg,mnist,100,iid,9558.0,0.15202,N/A,1780.91,0.5,0.0
14,FedAvg,mnist,100,iid,9579.0,0.14722,N/A,1908.12,0.5,0.0
15,FedAvg,mnist,100,iid,9596.0,0.14121,N/A,2035.33,0.5,0.0
16,FedAvg,mnist,100,iid,9593.0,0.14072,N/A,2162.54,0.5,0.0
17,FedAvg,mnist,100,iid,9605.0,0.13478,N/A,2289.74,0.5,0.0
18,FedAvg,mnist,100,iid,9619.0,0.13,N/A,2416.95,0.5,0.0
19,FedAvg,mnist,100,iid,9624.0,0.12746,N/A,2544.16,0.5,0.0
20,FedAvg,mnist,100,iid,9627.0,0.12728,N/A,2671.37,0.5,0.0
